Date,Name,Amount(sats),Lightning-Address,Status
2026-02-14,Alice Johnson,5000,alice@blink.sv,Pending
2026-02-14,Bob Smith,7500,bob@walletofsatoshi.com,Pending
2026-02-14,Carol Martinez,3200,carol@strike.me,Pending
2026-02-14,David Brown,12000,david@blink.sv,Pending
2026-02-14,Emma Wilson,8900,emma@getalby.com,Pending
2026-02-14,Frank Davis,4500,frank@walletofsatoshi.com,Pending
2026-02-14,Grace Lee,6700,grace@blink.sv,Pending
2026-02-14,Henry Taylor,9200,henry@strike.me,Pending
2026-02-14,Isabel Garcia,5500,isabel@walletofsatoshi.com,Pending
2026-02-14,Jack Robinson,11000,jack@blink.sv,Pending
